"","vbgem15","layer","lon.GK3","lat.GK3","lon.WGS84","lat.WGS84","AGS","RS","GEN","NUTS","digit6","gem15","gem15rs","name15","vbgnam15","raumt2010besiedlung","raumt2010lage","fl15_sum","z_bev15","popDens15","Road14","Road15","Road16","Road984"
"239427",9778168,514473,4353350,2760050,10.4328731677083,47.9531879312183,"09778168","097780168168","Markt Rettenbach","DE27C","0",9778168,97780168168,"Markt Rettenbach, Markt","Markt Rettenbach, Markt","rural","peripher",51.49,3777,73.354049329967,0,0,0,1307.85240956212
"239396",9778168,514474,4354350,2760050,10.4462538161913,47.953134422153,"09778168","097780168168","Markt Rettenbach","DE27C","0",9778168,97780168168,"Markt Rettenbach, Markt","Markt Rettenbach, Markt","rural","peripher",51.49,3777,73.354049329967,0,0,0,1050.32227903737
"240286",9778966,514475,4355350,2760050,10.4596344387339,47.9530792842542,"09778207","097785766207","Unteregg","DE27C","5",9778207,97785766207,"Unteregg","Dirlewang (VGem)","rural","peripher",77.67,5807,74.7650315437106,0,0,0,1263.04679657557
"240290",9778966,514476,4356350,2760050,10.4730150345583,47.9530225175271,"09778207","097785766207","Unteregg","DE27C","5",9778207,97785766207,"Unteregg","Dirlewang (VGem)","rural","peripher",77.67,5807,74.7650315437106,0,0,0,1950.76056463616
"240284",9778966,514477,4357350,2760050,10.486395602887,47.9529641219771,"09778207","097785766207","Unteregg","DE27C","5",9778207,97785766207,"Unteregg","Dirlewang (VGem)","rural","peripher",77.67,5807,74.7650315437106,0,0,0,2227.06025425309
"240339",9778966,514478,4358350,2760050,10.4997761429421,47.9529040976096,"09778207","097785766207","Unteregg","DE27C","5",9778207,97785766207,"Unteregg","Dirlewang (VGem)","rural","peripher",77.67,5807,74.7650315437106,0,0,0,1234.01337783065
"238824",9777953,514479,4359350,2760050,10.5131566539462,47.9528424444301,"09777114","097775753114","Baisweil","DE27B","5",9777114,97775753114,"Baisweil","Eggenthal (VGem)","rural","peripher",76.64,4163,54.3188935281837,0,0,0,0
"238841",9777953,514480,4360350,2760050,10.5265371351215,47.9527791624446,"09777114","097775753114","Baisweil","DE27B","5",9777114,97775753114,"Baisweil","Eggenthal (VGem)","rural","peripher",76.64,4163,54.3188935281837,0,0,0,0
"238810",9777953,514481,4361350,2760050,10.5399175856905,47.9527142516589,"09777114","097775753114","Baisweil","DE27B","5",9777114,97775753114,"Baisweil","Eggenthal (VGem)","rural","peripher",76.64,4163,54.3188935281837,0,0,0,2199.04394205655
"238801",9777953,514482,4362350,2760050,10.5532980048755,47.9526477120791,"09777114","097775753114","Baisweil","DE27B","5",9777114,97775753114,"Baisweil","Eggenthal (VGem)","rural","peripher",76.64,4163,54.3188935281837,0,0,0,815.496054042969
