"AQeCode","Y","Year","Projection","Lon","Lat","Alt","AQeType","AQeArea","HighDens","LowDens","Ind","Transp","Seap","Airp","Constr","UrbGreen","Agri","Forest","AGS","PopDens","PriRoad","SecRoad","FedAuto","LocRoute","indRegions"
"DESL019",8.8389302,2015,"EPSG:4979",6.552037,49.416884,339,"background","rural-regional",0,0,0,0,0,0,0,0,0.780952380952381,0.219047619047619,"10044114",236.754043399445,0,0,0,0,"10"
"DESL020",39.77119811,2015,"EPSG:4979",7.003174,49.23074,192,"traffic","urban",0.307692307692308,0.439102564102564,0.137820512820513,0,0,0,0,0.115384615384615,0,0,"10041100",1053.40512924625,3018.76469143672,0,1755.68537813151,0,"10"
"DESN001",20.42194752,2015,"EPSG:4979",12.997278,50.570872,545,"background","urban",0,0.774193548387097,0,0,0,0,0,0,0.225806451612903,0,"14521020",723.892166959943,2782.40212711608,0,0,0,"14"
"DESN004",16.01535979,2015,"EPSG:4979",14.443771,51.175669,203,"background","urban",0,0.845659163987138,0.0707395498392283,0,0,0,0,0,0.0836012861736334,0,"14625020",594.070686065069,2824.36282425828,0,0,0,"14"
"DESN006",21.61574394,2015,"EPSG:4979",12.493056,51.125,145,"traffic","urban",0,0.749206349206349,0.0222222222222222,0,0,0,0,0.126984126984127,0.0571428571428571,0.0444444444444444,"14729050",313.853422612736,3018.39117176374,0,0,0,"14"
"DESN011",21.65306813,2015,"EPSG:4979",12.917336,50.832461,300,"background","urban",0,0.841772151898734,0.104430379746835,0.0158227848101266,0,0,0,0.0379746835443038,0,0,"14511000",1122.18479139373,4614.28338260037,0,0,0,"14"
"DESN017",19.04565878,2015,"EPSG:4979",13.346826,50.9163,393,"background","urban",0,0.838095238095238,0.0825396825396825,0.0349206349206349,0,0,0,0.0444444444444444,0,0,"14522180",864.612148887549,3832.09524691355,1027.40526242891,0,70.6810368783808,"14"
"DESN019",19.75836599,2015,"EPSG:4979",12.542056,50.826001,233,"background","urban",0,0.625396825396825,0.247619047619048,0,0,0,0,0,0.126984126984127,0,"14524080",445.953341676104,1823.34162606253,0,0,0,"14"
"DESN020",22.64817739,2015,"EPSG:4979",14.973958,51.155801,210,"traffic","urban",0.0630914826498423,0.422712933753943,0.34384858044164,0.0757097791798107,0,0,0,0.0946372239747634,0,0,"14626110",815.87355259578,2201.9396649999,0,0,0,"14"
"DESN024",11.38457714,2015,"EPSG:4979",12.468739,50.354783,540,"background","urban",0,0.414012738853503,0,0,0,0,0,0,0.232484076433121,0.353503184713376,"14523160",170.418616326362,1827.81117746264,170.911617525243,0,0,"14"
"DESN025",42.80036003,2015,"EPSG:4979",12.377163,51.344164,110,"traffic","urban",0.246835443037975,0.417721518987342,0.0949367088607595,0.164556962025316,0,0,0,0.0759493670886076,0,0,"14713000",1871.6834572385,2285.65210008425,0,0,0,"14"
"DESN045",13.32594306,2015,"EPSG:4979",14.822846,50.892377,230,"background","suburban",0,0.520766773162939,0.271565495207668,0,0,0,0,0.00319488817891374,0.204472843450479,0,"14626610",382.426249406689,860.271781613103,2564.92635271848,0,158.774827807081,"14"
"DESN051",13.39141369,2015,"EPSG:4979",13.675005,51.119514,246,"background","rural-nearcity",0,0.382165605095541,0,0,0,0,0,0,0.579617834394904,0.0382165605095541,"14627210",1305.71965903032,0,0,0,0,"14"
"DESN052",7.55013294,2015,"EPSG:4979",13.75145,50.731478,877,"background","rural-regional",0,0.00319488817891374,0,0,0,0,0,0,0.527156549520767,0.29073482428115,"14628010",56.1070380435003,590.754739803651,0,0,0,"14"
"DESN059",16.15543149,2015,"EPSG:4979",12.297411,51.317905,115,"background","urban",0,0.871794871794872,0.0192307692307692,0,0,0,0,0.0833333333333333,0.0256410256410256,0,"14713000",1871.6834572385,0,0,0,0,"14"
"DESN061",31.73665434,2015,"EPSG:4979",13.741397,51.06493,112,"traffic","urban",0,0.517684887459807,0.231511254019293,0.0964630225080386,0,0,0,0.0578778135048231,0.00964630225080386,0,"14612000",1653.57054014841,5234.84438510816,0,0,0,"14"
"DESN074",8.0534445,2015,"EPSG:4979",13.465078,50.659097,785,"background","rural-regional",0,0,0,0,0,0,0,0,0.834920634920635,0.165079365079365,"14521570",184.924316817981,0,1522.910081035,0,0,"14"
"DESN075",22.74990437,2015,"EPSG:4979",12.138054,50.486138,343,"traffic","urban",0,0.54746835443038,0.313291139240506,0,0,0,0,0.132911392405063,0,0.00632911392405063,"14523320",641.282718294001,4199.45145198975,0,0,0,"14"
"DESN076",8.1895135,2015,"EPSG:4979",13.009406,51.303772,313,"background","rural-remote",0,0,0,0,0,0,0,0,0.452229299363057,0.547770700636943,"14730330",50.5391277317911,0,0,0,2275.21162230054,"14"
"DESN077",40.24325103,2015,"EPSG:4979",12.334686,51.335872,113,"traffic","urban",0,0.718354430379747,0.0379746835443038,0,0,0,0,0.224683544303797,0,0,"14713000",1871.6834572385,2232.85054351168,0,0,0,"14"
"DESN079",7.92364248,2015,"EPSG:4979",14.749731,51.285356,148,"background","rural-regional",0,0.0926517571884984,0,0,0,0,0,0,0.434504792332268,0.121405750798722,"14626440",41.1635576282213,0,1919.28345236196,0,949.290107954465,"14"
"DESN084",49.41607839,2015,"EPSG:4979",13.731608,51.026294,150,"traffic","urban",0,0.564102564102564,0.314102564102564,0,0,0,0,0.121794871794872,0,0,"14612000",1653.57054014841,1997.44159830156,1062.65768270576,0,0,"14"
"DESN091",25.59806626,2015,"EPSG:4979",12.486621,50.720405,267,"traffic","urban",0,0.642405063291139,0.170886075949367,0.0379746835443038,0,0,0,0.14873417721519,0,0,"14524330",880.604746777102,4780.57365502192,0,0,0,"14"
"DESN092",18.25904453,2015,"EPSG:4979",13.730205,51.036105,112,"background","urban",0,0.626582278481013,0.306962025316456,0.0664556962025316,0,0,0,0,0,0,"14612000",1653.57054014841,3030.90463604653,595.30015781567,0,0,"14"
"DESN093",9.76137407,2015,"EPSG:4979",12.211112,50.608136,430,"background","rural-regional",0,0.0926517571884984,0,0,0,0,0,0,0.670926517571885,0.236421725239617,"14523260",323.535067247866,0,0,0,0,"14"
"DEST002",13.05793703,2015,"EPSG:4979",11.864763,52.268354,47,"background","suburban",0,0.660377358490566,0,0,0,0,0,0.226415094339623,0.113207547169811,0,"15086015",138.441954996548,3130.16787325914,0,0,650.032216108895,"15"
"DEST011",13.64515896,2015,"EPSG:4979",10.790143,51.839382,235,"background","urban",0,0.817307692307692,0.102564102564103,0,0,0,0,0.0641025641025641,0,0.016025641025641,"15085370",195.015148265035,3021.95362523343,0,0,0,"15"
"DEST015",14.64222733,2015,"EPSG:4979",12.302866,51.651166,75,"industrial","suburban",0,0.302547770700637,0.296178343949045,0,0,0,0,0,0.277070063694268,0.124203821656051,"15082015",463.222001824485,0,0,0,0,"15"
"DEST029",20.11240384,2015,"EPSG:4979",11.738962,51.803534,60,"background","suburban",0,0.431309904153355,0.159744408945687,0,0,0,0,0.293929712460064,0,0,"15089030",297.437760181513,2290.41071721279,1967.48370774141,0,0,"15"
"DEST039",3.3871922,2015,"EPSG:4979",10.618275,51.798629,1130,"background","rural-remote",0,0,0,0,0,0,0,0,0,0.884244372990354,"15085370",195.015148265035,0,0,0,0,"15"
"DEST044",13.03068248,2015,"EPSG:4979",11.057442,51.896982,120,"background","urban",0,0.752380952380952,0.215873015873016,0.00952380952380952,0,0,0,0,0.0222222222222222,0,"15085135",306.09449486352,3726.15754937836,0,0,0,"15"
"DEST050",18.21465573,2015,"EPSG:4979",11.979056,51.496185,116,"background","urban",0,0.687697160883281,0.170347003154574,0.0126182965299685,0,0,0,0.0946372239747634,0.0347003154574132,0,"15002000",1743.51072402839,2186.56793330853,0,0,0,"15"
"DEST066",11.59115863,2015,"EPSG:4979",12.663663,51.870852,71,"background","urban",0,0.697160883280757,0.082018927444795,0,0,0,0,0.0725552050473186,0.0189274447949527,0,"15091375",191.842425983093,2728.91148051963,0,0,0,"15"
"DEST075",34.59431484,2015,"EPSG:4979",11.983406,51.475164,113,"traffic","urban",0.0317460317460317,0.463492063492064,0.244444444444444,0.257142857142857,0,0,0,0.00317460317460317,0,0,"15002000",1743.51072402839,3979.13909378531,0,0,0,"15"
"DEST077",17.58713215,2015,"EPSG:4979",11.611464,52.127899,58,"background","urban",0,0.617363344051447,0.144694533762058,0.0836012861736334,0,0,0,0.154340836012862,0,0,"15003000",1174.02111827705,1609.705929071,0,0,0,"15"
